"Time","{__name__=""http_server_requests_seconds_max"", application=""sentinel"", environment=""experiment"", error=""IOException"", exception=""IOException"", exported_application=""sentinel-perf"", instance=""192.168.0.58:8080"", job=""sentinel-backend"", method=""GET"", outcome=""SUCCESS"", status=""200"", uri=""/api/v1/crypto/stream/prices""}"
2025-12-09 16:05:30,36.0
2025-12-09 16:05:45,42.1
2025-12-09 16:06:00,65.7
2025-12-09 16:06:15,65.7
2025-12-09 16:06:30,65.7
2025-12-09 16:06:45,65.7
2025-12-09 16:07:00,109
2025-12-09 16:07:15,109
2025-12-09 16:07:30,146
2025-12-09 16:07:45,146
2025-12-09 16:08:00,146
2025-12-09 16:08:15,146
2025-12-09 16:08:30,146
2025-12-09 16:08:45,217
2025-12-09 16:09:00,217
2025-12-09 16:09:15,217
2025-12-09 16:09:30,272
2025-12-09 16:09:45,272
2025-12-09 16:10:00,272
2025-12-09 16:10:15,293
2025-12-09 16:10:30,328
2025-12-09 16:10:45,328
2025-12-09 16:11:00,345
2025-12-09 16:11:15,383
2025-12-09 16:11:30,383
2025-12-09 16:11:45,383
2025-12-09 16:12:00,412
2025-12-09 16:12:15,412
2025-12-09 16:12:30,452
2025-12-09 16:12:45,452
2025-12-09 16:13:00,473
2025-12-09 16:13:15,473
2025-12-09 16:13:30,497
2025-12-09 16:13:45,497
2025-12-09 16:14:00,497
2025-12-09 16:14:15,515
2025-12-09 16:14:30,515
2025-12-09 16:14:45,515
2025-12-09 16:15:00,515
2025-12-09 16:15:15,515
2025-12-09 16:15:30,552
2025-12-09 16:15:45,564
2025-12-09 16:16:00,613
2025-12-09 16:16:15,613
2025-12-09 16:16:30,627
2025-12-09 16:16:45,631
