"Time"," Active Threads"
2025-11-20 23:53:00,95
2025-11-20 23:53:15,95
2025-11-20 23:53:30,95
2025-11-20 23:53:45,97
2025-11-20 23:54:00,97
2025-11-20 23:54:15,97
2025-11-20 23:54:30,102
2025-11-20 23:54:45,122
2025-11-20 23:55:00,146
2025-11-20 23:55:15,173
2025-11-20 23:55:30,181
2025-11-20 23:55:45,200
2025-11-20 23:56:00,223
2025-11-20 23:56:15,244
2025-11-20 23:56:30,247
2025-11-20 23:56:45,248
2025-11-20 23:57:00,248
2025-11-20 23:57:15,248
2025-11-20 23:57:30,247
2025-11-20 23:57:45,248
2025-11-20 23:58:00,248
2025-11-20 23:58:15,248
2025-11-20 23:58:30,247
2025-11-20 23:58:45,248
2025-11-20 23:59:00,248
2025-11-20 23:59:15,248
2025-11-20 23:59:30,247
2025-11-20 23:59:45,247
2025-11-21 00:00:00,248
2025-11-21 00:00:15,248
2025-11-21 00:00:30,248
2025-11-21 00:00:45,248
2025-11-21 00:01:00,248
2025-11-21 00:01:15,248
2025-11-21 00:01:30,248
