timestamp,"tps[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SERVER_ERROR, status=500, uri=/api/v1/portfolios/{portfolioId}]","tps[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/actuator/health]","tps[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/actuator/prometheus]","tps[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/api/v1/portfolios]","tps[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=POST, outcome=SUCCESS, status=201, uri=/api/v1/portfolios]","avg_response_time[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SERVER_ERROR, status=500, uri=/api/v1/portfolios/{portfolioId}]","avg_response_time[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/actuator/health]","avg_response_time[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/actuator/prometheus]","avg_response_time[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/api/v1/portfolios]","avg_response_time[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=POST, outcome=SUCCESS, status=201, uri=/api/v1/portfolios]","cpu_usage[application=sentinel, environment=experiment, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend]","jvm_memory[application=sentinel, area=heap, environment=experiment, exported_application=sentinel-perf, id=G1 Eden Space, instance=192.168.0.58:8080, job=sentinel-backend]","jvm_memory[application=sentinel, area=heap, environment=experiment, exported_application=sentinel-perf, id=G1 Old Gen, instance=192.168.0.58:8080, job=sentinel-backend]","jvm_memory[application=sentinel, area=heap, environment=experiment, exported_application=sentinel-perf, id=G1 Survivor Space, instance=192.168.0.58:8080, job=sentinel-backend]","jvm_memory[application=sentinel, area=nonheap, environment=experiment, exported_application=sentinel-perf, id=CodeCache, instance=192.168.0.58:8080, job=sentinel-backend]","jvm_memory[application=sentinel, area=nonheap, environment=experiment, exported_application=sentinel-perf, id=Compressed Class Space, instance=192.168.0.58:8080, job=sentinel-backend]","jvm_memory[application=sentinel, area=nonheap, environment=experiment, exported_application=sentinel-perf, id=Metaspace, instance=192.168.0.58:8080, job=sentinel-backend]","active_threads[application=sentinel, environment=experiment, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend]",p95_response_time[uri=/actuator/health],p95_response_time[uri=/actuator/prometheus],p95_response_time[uri=/api/v1/portfolios],p95_response_time[uri=/api/v1/portfolios/{portfolioId}],"hikaricp_active[application=sentinel, environment=experiment, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, pool=SentinelHikariPool]","hikaricp_pending[application=sentinel, environment=experiment, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, pool=SentinelHikariPool]","hikaricp_usage_percent[application=sentinel, environment=experiment, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, pool=SentinelHikariPool]",hikaricp_acquire_time_p95,status_code_distribution[status=200],status_code_distribution[status=201],status_code_distribution[status=500]
2025-12-04T22:12:00,,,0.0666681481810707,,,,,54.17283333333333,,,0.6263610374363545,2097152.0,78969808.0,622144.0,18691584.0,16736656.0,115798160.0,99.0,,86.12304184999999,,,0.0,0.0,0.0,,0.0666681481810707,,
2025-12-04T22:12:15,,,0.0666740748972108,,,,,44.05709999999999,,,0.5569965179251283,8388608.0,78969808.0,622144.0,18164224.0,16736656.0,115798160.0,99.0,,49.49278525,,,0.0,0.0,0.0,,0.0666740748972108,,
2025-12-04T22:12:30,,,0.06666666666666665,,,,,46.96746666666663,,,20.654891097439698,39845888.0,78360704.0,7373016.0,22977152.0,17495808.0,120945272.0,102.0,,49.912215625,,,9.0,0.0,9.0,2.676802439873414,0.06666666666666665,,
2025-12-04T22:12:45,87.6984476742894,0.0,0.06666962976132272,45.70664044269618,12.688472564837657,146.93562450909926,,51.9582666666667,480.1547169593765,397.7555718586192,19.79623379475819,125829120.0,108700464.0,19130800.0,21046400.0,17507592.0,120991368.0,252.0,,66.2700028,1116.4357491999353,334.7034333024362,98.0,101.0,98.0,296.4196324716392,45.7733100724575,12.688472564837657,87.6984476742894
2025-12-04T22:13:00,159.2919681057954,0.0,0.06667111140742717,83.31703617269544,21.3730455075846,207.95688351997177,,59.391400000000054,643.9209900022922,521.6369395153056,25.316267186533036,54525952.0,114739024.0,23457744.0,19237888.0,17508616.0,120995368.0,252.0,,66.6894334,1340.1968965186402,362.3672119861906,100.0,97.0,100.0,336.32379404159053,83.38370728410287,21.3730455075846,159.2919681057954
2025-12-04T22:13:15,231.49465731706414,0.0,0.06667703865045674,119.45015446847287,30.17005534194208,222.93263877656747,,67.37880000000004,677.4530880485443,564.0978365598645,19.654688379975084,142606336.0,109240208.0,15733544.0,18743040.0,17508616.0,120995368.0,252.0,,86.12304184999999,1333.3371191081376,356.9537473768504,100.0,99.0,100.0,334.94266681469725,119.51683150712333,30.17005534194208,231.49465731706414
2025-12-04T22:13:30,284.4348637717232,0.0,0.06666962976132272,144.9397751011156,35.31268056358061,248.17084658016512,,76.99566666666668,755.3019705611777,626.770161988672,19.065266293878178,239075328.0,129168784.0,19192424.0,18654208.0,17508616.0,120995464.0,252.0,,108.49266285,1356.5540542465296,358.93921530729153,100.0,99.0,100.0,337.16339583224806,145.00644473087692,35.31268056358061,284.4348637717232
2025-12-04T22:13:45,282.46955284914213,0.0,0.06667259311938839,141.16810383145167,36.669926215663615,248.40065301337538,,75.61496666666665,752.4190911838792,626.807308060606,20.71419335489609,167772160.0,135097056.0,15069056.0,18739584.0,17508616.0,120995656.0,251.0,,108.49266285,1337.469933352065,357.25679984817145,100.0,99.0,100.0,334.1085289123877,141.23477642457107,36.669926215663615,282.46955284914213
2025-12-04T22:14:00,280.32356993644163,0.0,0.06666962976132272,139.60620472020977,36.84608204809103,249.47821579990483,,71.03623333333334,760.5245227316141,629.2575419179733,27.057592378294252,65011712.0,127106216.0,17167416.0,18693248.0,17508616.0,120995656.0,251.0,,108.49266285,1356.0714544782609,357.78914904762615,100.0,99.0,100.0,336.1424478678601,139.6728743499711,36.84608204809103,280.32356993644163
2025-12-04T22:14:15,275.6873291400884,0.0,0.06667703865045674,137.55473073589224,37.1391105283044,253.9525258948727,,58.40153333333327,769.7498428340606,641.5206029323759,17.855455941686273,33554432.0,126448032.0,17695768.0,18665344.0,17508616.0,120995656.0,251.0,,61.09702562499999,1365.5465365729885,370.3356600941175,100.0,95.0,100.0,341.77320085893535,137.6214077745427,37.1391105283044,275.6873291400884
2025-12-04T22:14:30,277.62839174203873,0.0,0.0666681481810707,138.93642080935132,35.845241005355675,253.03465588729688,,60.51970000000003,766.8063932661549,636.2081675759455,23.231659545484703,257949696.0,158619872.0,21678240.0,18638720.0,17508616.0,120995656.0,251.0,,66.2700028,1375.2948050524901,375.98085307113155,100.0,98.0,100.0,341.84974884542635,139.00308895753238,35.845241005355675,277.62839174203873
2025-12-04T22:14:45,278.2334244626703,0.0,0.06668000266720012,139.45011224467117,35.36262808117179,255.23202378175426,,61.952033333333276,770.5840688874722,622.7524074795725,19.71573534353959,239075328.0,155728384.0,41943040.0,18753024.0,17508616.0,120995656.0,251.0,,66.6894334,1386.2558162602847,399.8900672243867,100.0,99.0,100.0,348.70806025,139.51679224733837,35.36262808117179,278.2334244626703
