timestamp,"tps[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SERVER_ERROR, status=500, uri=/api/v1/portfolios/{portfolioId}]","tps[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/actuator/health]","tps[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/actuator/prometheus]","tps[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/api/v1/auth/perf/stats]","tps[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/api/v1/auth/perf/tokens]","tps[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/api/v1/portfolios]","tps[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=POST, outcome=SUCCESS, status=201, uri=/api/v1/portfolios]","avg_response_time[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SERVER_ERROR, status=500, uri=/api/v1/portfolios/{portfolioId}]","avg_response_time[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/actuator/health]","avg_response_time[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/actuator/prometheus]","avg_response_time[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/api/v1/auth/perf/stats]","avg_response_time[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/api/v1/auth/perf/tokens]","avg_response_time[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=GET, outcome=SUCCESS, status=200, uri=/api/v1/portfolios]","avg_response_time[application=sentinel, environment=experiment, error=none, exception=none, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, method=POST, outcome=SUCCESS, status=201, uri=/api/v1/portfolios]","cpu_usage[application=sentinel, environment=experiment, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend]","jvm_memory[application=sentinel, area=heap, environment=experiment, exported_application=sentinel-perf, id=G1 Eden Space, instance=192.168.0.58:8080, job=sentinel-backend]","jvm_memory[application=sentinel, area=heap, environment=experiment, exported_application=sentinel-perf, id=G1 Old Gen, instance=192.168.0.58:8080, job=sentinel-backend]","jvm_memory[application=sentinel, area=heap, environment=experiment, exported_application=sentinel-perf, id=G1 Survivor Space, instance=192.168.0.58:8080, job=sentinel-backend]","jvm_memory[application=sentinel, area=nonheap, environment=experiment, exported_application=sentinel-perf, id=CodeCache, instance=192.168.0.58:8080, job=sentinel-backend]","jvm_memory[application=sentinel, area=nonheap, environment=experiment, exported_application=sentinel-perf, id=Compressed Class Space, instance=192.168.0.58:8080, job=sentinel-backend]","jvm_memory[application=sentinel, area=nonheap, environment=experiment, exported_application=sentinel-perf, id=Metaspace, instance=192.168.0.58:8080, job=sentinel-backend]","active_threads[application=sentinel, environment=experiment, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend]",p95_response_time[uri=/actuator/health],p95_response_time[uri=/actuator/prometheus],p95_response_time[uri=/api/v1/auth/perf/stats],p95_response_time[uri=/api/v1/auth/perf/tokens],p95_response_time[uri=/api/v1/portfolios],p95_response_time[uri=/api/v1/portfolios/{portfolioId}],"hikaricp_active[application=sentinel, environment=experiment, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, pool=SentinelHikariPool]","hikaricp_pending[application=sentinel, environment=experiment, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, pool=SentinelHikariPool]","hikaricp_usage_percent[application=sentinel, environment=experiment, exported_application=sentinel-perf, instance=192.168.0.58:8080, job=sentinel-backend, pool=SentinelHikariPool]",hikaricp_acquire_time_p95,status_code_distribution[status=200],status_code_distribution[status=201],status_code_distribution[status=500]
2025-12-04T20:28:00,,,0.06666962976132272,0.0,0.0,,,,,42.72236666666688,,,,,1.5521024215323709,207618048.0,168566800.0,26518800.0,21277312.0,17935664.0,124301240.0,101.0,,49.49278525,,,,,1.0,0.0,1.0,,0.06666962976132272,,
2025-12-04T20:28:15,,,0.06667111140742717,0.0,0.0,,,,,45.38616666666683,,,,,0.6768773297792791,226492416.0,168566800.0,26518800.0,21295872.0,17935664.0,124301240.0,101.0,,49.912215625,,,,,1.0,0.0,1.0,,0.06667111140742717,,
2025-12-04T20:28:30,,,0.06666666666666665,0.0,0.0,,,,,45.62746666666703,,,,,23.29935022342706,102760448.0,179653136.0,23596784.0,27169664.0,18267128.0,126209120.0,103.0,,49.912215625,,,,,16.0,0.0,16.0,1.5985390222702003,0.06666666666666665,,
2025-12-04T20:28:45,104.19234846969395,0.0,0.06667111140742717,0.0,0.0,53.764429552577184,12.888524371540974,143.81587531717003,,51.72329999999962,,,419.40456785040993,356.49777724451235,25.755513195997555,327155712.0,212300000.0,22898920.0,25491328.0,18262920.0,126192040.0,253.0,,60.677595249999996,,,1004.0959872628597,335.96420228442014,98.0,102.0,98.0,305.11202908043225,53.831100663984614,12.888524371540974,104.19234846969395
2025-12-04T20:29:00,183.12897526501766,0.0,0.06666962976132272,0.0,0.0,95.54330066448875,23.492813965375472,192.359993098232,,68.40163333333334,,,552.4735678284982,459.611664065865,21.83256727021684,96468992.0,218668272.0,18640136.0,22062080.0,18262920.0,126192472.0,253.0,,108.49266285,,,1196.8114439969713,349.09079791593376,100.0,97.0,100.0,313.6439503211917,95.60997029425008,23.492813965375472,183.12897526501766
2025-12-04T20:29:15,265.3685265029448,0.0,0.0666740748972108,0.0,0.0,136.1479138422788,32.93197762714376,202.74865684423756,,75.59633333333336,,,589.2567388809927,484.47564780822677,29.505549519549,211812352.0,219080368.0,15061992.0,21917440.0,18263432.0,126194472.0,253.0,,108.49266285,,,1211.9219686655474,345.96902931714493,100.0,99.0,100.0,306.0121290742015,136.214587917176,32.93197762714376,265.3685265029448
2025-12-04T20:29:30,318.9252855682475,0.0,0.06666962976132272,0.0,0.0,162.0516467398551,38.268367482999246,228.29733252735002,,78.66960000000017,,,665.6459214070215,552.7107745063879,27.71596420272729,291504128.0,219857136.0,20970096.0,23636480.0,18263432.0,126194712.0,253.0,,108.49266285,,,1261.5764087351643,347.6432258298709,100.0,99.0,100.0,307.0903883349175,162.11831636961642,38.268367482999246,318.9252855682475
2025-12-04T20:29:45,319.47284203040266,0.0,0.06667259311938839,0.0,0.0,159.74753311405456,38.247844252822475,224.9225899895652,,85.3290333333329,,,666.9703028241515,556.3456401510749,27.239728904331333,54525952.0,219538408.0,20922768.0,23796480.0,18263432.0,126194760.0,254.0,,130.86228385,,,1254.5212277555088,343.59474391666663,100.0,95.0,100.0,303.70244494725387,159.81420570717395,38.247844252822475,319.47284203040266
2025-12-04T20:30:00,316.62925842796506,0.0,0.0666681481810707,0.0,0.0,158.4924109424654,38.86753038956421,226.28168599101627,,86.72616666666617,,,668.6281614413911,564.3862310463122,24.882460036221218,316669952.0,219923160.0,16777216.0,22046464.0,18265064.0,126205440.0,253.0,,130.86228385,,,1245.7649311735534,346.4594665581295,100.0,100.0,100.0,309.76166029275277,158.55907909064646,38.86753038956421,316.62925842796506
2025-12-04T20:30:15,313.3598559775965,0.0,0.06667703865045674,0.0,0.0,157.11332874002622,39.89509479252328,228.4363724874105,,82.36249999999976,,,677.9686456783138,558.4025062952646,27.523655585172797,182452224.0,220030056.0,27262976.0,23859712.0,18265064.0,126205440.0,253.0,,130.86228385,,,1258.5202863114453,350.912192141681,100.0,100.0,100.0,318.30483538082666,157.18000577867667,39.89509479252328,313.3598559775965
2025-12-04T20:30:30,313.582112773098,0.0,0.06667703865045674,0.0,0.0,156.33542995577088,39.42835552197008,228.44815748812817,,63.56630000000033,,,676.2890794142735,562.3472870349491,25.142846497264642,306184192.0,220229856.0,19746624.0,22147328.0,18265064.0,126205440.0,253.0,,86.12304184999999,,,1266.2176857591885,348.4338708822926,100.0,99.0,100.0,302.4508262439024,156.40210699442133,39.42835552197008,313.582112773098
2025-12-04T20:30:45,311.0997510668563,0.0,0.06667852062588904,0.0,0.0,155.07201280227596,39.784850640113795,229.9043010788026,,58.88209999999994,,,684.3771496775115,561.387892122905,27.546677592569154,148897792.0,221617728.0,14680064.0,22140416.0,18265064.0,126205440.0,253.0,,66.2700028,,,1289.2089908360801,347.4309015969387,100.0,99.0,100.0,300.1653368742799,155.13869132290185,39.784850640113795,311.0997510668563
