"Time"," Active Threads"
2025-11-20 01:33:00,96
2025-11-20 01:33:15,109
2025-11-20 01:33:30,129
2025-11-20 01:33:45,158
2025-11-20 01:34:00,175
2025-11-20 01:34:15,196
2025-11-20 01:34:30,212
2025-11-20 01:34:45,229
2025-11-20 01:35:00,246
2025-11-20 01:35:15,246
2025-11-20 01:35:30,247
2025-11-20 01:35:45,247
2025-11-20 01:36:00,247
2025-11-20 01:36:15,247
2025-11-20 01:36:30,247
2025-11-20 01:36:45,247
2025-11-20 01:37:00,247
2025-11-20 01:37:15,247
2025-11-20 01:37:30,247
2025-11-20 01:37:45,248
2025-11-20 01:38:00,247
2025-11-20 01:38:15,247
2025-11-20 01:38:30,247
2025-11-20 01:38:45,247
2025-11-20 01:39:00,247
2025-11-20 01:39:15,247
2025-11-20 01:39:30,247
2025-11-20 01:39:45,247
2025-11-20 01:40:00,247
2025-11-20 01:40:15,247
2025-11-20 01:40:30,245
2025-11-20 01:40:45,245
